code,name,abbreviation,domain,n_items,license,url,citation,repository,languages,n_dimensions,has_scoring,checked_content,checked_output,checked_scoring,notes
PX540603,Sensitivity to Punishment/Sensitivity to Reward Questionnaire (SPSRQ),PX540603,Substance Use,48,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/540603,"Beck, I., Smits, D. J. M., Claes, L., Vandereycken, W., & Bijttebier, P. (2009). Psychometric evaluation of the Behavioral Inhibition/Behavioral Activation System Scales and the Sensitivity to Punishment and Sensitivity to Reward Questionnaire in a sample of eating disordered patients. Personality and Individual Differences, 47 , 407-412 Bijttebier, P., Beck, I., Claes, L., & Vandereycken, W. (2009). Gray’s reinforcement sensitivity theory as a framework for research on personality-psychopathology associations. Clinical Psychology Review, 29 , 421-430. Burgess, E. E., Turan, B., Lokken, K. L., Morse, A., & Boggiano, M. M. (2014). Profiling motives behind hedonic eating. Preliminary validation of the Palatable Eating Motives Scale. Appetite, 72 , 66-72. Carver, C. S., & White, T. L. (1994). Behavioral inhibition, behavioral activation, and affective responses to impending reward and punishment: The BIS/BAS scales. Journal of Personality and Social Psychology , 67 (2), 319-333. Cogswell, A., Alloy, L. B., van Dulmen M. H. M., & Fresco, D. M. (2006). A psychometric evaluation of behavioral inhibition and approach self-report measures. Personality and Individual Differences, 40 , 1649-1658. Davis, G. (2013). A narrative review of binge eating and addictive behaviors: Shared associations with seasonality and personality factors. Frontiers in Psychiatry, 4 , 1-9. Glashouwer, K. A., Bloot, L., Veenstra, E. M., Franken, I. H. A., & De Jong, P. J. (2014). Heightened sensitivity to punishment and reward in anorexia nervosa. Appetite, 75 , 97-102. Gray, J. A. (1981). A critique of Eysenck’s theory of personality. In H.J. Eysenck (ed.), A model for personality (pp. 246-276). New York: Springer. Gray, J. A. (1982). Neuropsychological theory of anxiety . New York: Oxford University Press. Hennegan, J. M., Loxton, N. J., & Mattar, A. (2013). Great expectations. Eating expectancies as mediators of reinforcement sensitivity and eating. Appetite, 71, 81-88. Jappe, L. M., Frank, G. K. W., Shott, M. E., Rollin, M. D. H., Pryor, T., Hagman, J. O., Yang, T. T., & Davis, E. (2011). Heightened sensitivity to reward and punishment in anorexia nervosa. International Journal of Eating Disorders, 44 , 317-324. Matthews, G., & Gilliland, K. (1999). The personality theories of H. J. Eysenck and J. A. Gray: A comparative review. Personality and Individual Differences, 26 , 583-626. Matton, A., Goossens, L., Braet, C., & Vervaet, M. (2013). Punishment and reward sensitivity: Are naturally occurring clusters in these traits related to eating and weight problems in adolescents? European Eating Disorders Review, 21 , 184-194. Matton, A., Goossens, L., Vervaet, M., & Braet, C. (2015). Temperamental differences between adolescents and young adults with or without an eating disorder. Comprehensive Psychiatry 56 , 229-238. Zinbarg, R., & Revelle, W. (1989). Personality and conditioning: a test of four models. Journal of Personality and Social Psychology, 57 (2), 301-314. [PhenX: https://www.phenxtoolkit.org/protocols/view/540603]",phenx,en,0,no,0,0,0,Excluded from manifest
PX580101,"Internalizing, Externalizing, and Substance Use Disorders Screener",PX580101,Mental Health,15,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/580101,"Dennis, M. L., Chan, Y.-F., & Funk, R. (2006). Development and validation of the GAIN Short Screener (GSS) for internalizing, externalizing, and substance use disorders and crime/violence problems among adolescents and adults. American Journal on Addictions , 15 (Suppl. 1), 80-91. Dennis, M. L., Feeney, T., Hanes-Stevens, L., & Bedoya, L. (2008). GAIN-SS: Global Appraisal of Individual Needs-Short Screener (GAIN-SS) administration and scoring manual version 2.0.3. Bloomington, IL: Chestnut Health Systems. Lucenko, B., Mancuso, D., & Estee, S. (2008). Co-occurring disorders among DSHS clients: A report to the legislature as required by section 601 (2) of the Omnibus Treatment of Mental and Substance Abuse Disorders Act of 2005 (Report No. 3.32). Olympia, WA: Washington State Department of Social and Health Services. McDonnell, M. G., Comtois, K. A., Voss, W. D., Morgan, A. G., & Ries, R. K. (2009). Global Appraisal of Individual Needs Short Screener (GSS): Psychometric properties and performance as a screening measure in adolescents. American Journal of Drug and Alcohol Abuse , 35 (3), 157-160. [PhenX: https://www.phenxtoolkit.org/protocols/view/580101]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX590101,Social Relationship Quality,PX590101,Substance Use,45,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/590101,"Cohen, S., Mermelstein, R., Kamarck, T., & Hoberman, H. M. (1985). Measuring the Functional Components of Social Support. In S. Cohen, R. Mermelstein, T. Kamarck, & H. M. Hoberman (Eds.), Social Support: Theory, Research and Applications (pp. 73-94). Dordrecht, Netherlands: Springer Netherlands. Russell, D., Peplau, L. A., & Cutrona, C. E. (1980). The revised UCLA Loneliness Scale: concurrent and discriminant validity evidence. Journal of Personality and Social Psychology, 39(3), 472-480. doi.org/10.1037//0022-3514.39.3.472 [PhenX: https://www.phenxtoolkit.org/protocols/view/590101]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX590501,Multidimensional Assessment of Recovery Capital,PX590501,Substance Use,28,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/590501,"Galanter, M., White, W. L., Hunter, B., & Khalsa, J. (2024). Internet-based, continuously available Narcotics Anonymous meetings: A new resource for access to Twelve Step support for abstinence. American Journal of Drug and Alcohol Abuse, 50(3), 321-327. doi.org/10.1080/00952990.2024.2309648 Kelly, J. F., Greene, M. C., & Bergman, B. G. (2018). Beyond abstinence: Changes in indices of quality of life with time in recovery in a nationally representative sample of U.S. adults. Alcoholism, Clinical and Experimental Research, 42(4), 770-780. doi:10.1111/acer.13604 Thompson, R. A., Johnson, D., Ashworth, M., & Stott, M. (2024). Establishing quality and outcome measures for recovery housing: A tiered approach supporting service evolution. Community Mental Health Journal, 60(4), 681-690. doi.org/10.1007/s10597-023-01219-6 [PhenX: https://www.phenxtoolkit.org/protocols/view/590501]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX590502,Unidimensional Assessment of Recovery Capital,PX590502,Substance Use,10,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/590502,"Ashford, R. D., Brown, A. M., Ashford, A., & Curtis, B. (2019). Recovery dialects: A pilot study of stigmatizing and nonstigmatizing label use by individuals in recovery from substance use disorders. Experimental and Clinical Psychopharmacology , 27(6), 530-535. doi:10.1037/pha0000286 Best, D. W., Haslam, C., Staiger, P., Dingle, G., Savic, M., Bathish, R., ... Lubman, D. I. (2016). Social networks and recovery (SONAR): Characteristics of a longitudinal outcome study in five therapeutic communities in Australia. International Journal of Therapeutic Communities , 37(3), 131-139. doi:10.1108/TC-04-2016-0012 Galanter, M., White, W. L., Hunter, B., & Khalsa, J. (2024). Internet-based, continuously available Narcotics Anonymous meetings: A new resource for access to Twelve Step support for abstinence. American Journal of Drug and Alcohol Abuse , 50(3), 321-327. doi:10.1080/00952990.2024.2309648 Kelly, J. F., Greene, M. C., & Bergman, B. G. (2018). Beyond abstinence: Changes in indices of quality of life with time in recovery in a nationally representative sample of U.S. adults. Alcoholism, Clinical and Experimental Research , 42(4), 770-780. doi:10.1111/acer.13604 Thompson, R. A., Johnson, D., Ashworth, M., & Stott, M. (2024). Establishing quality and outcome measures for recovery housing: A tiered approach supporting service evolution. Community Mental Health Journal , 60(4), 681-690. doi:10.1007/s10597-023-01219-6 [PhenX: https://www.phenxtoolkit.org/protocols/view/590502]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX610101,Impairment - Adolescent,PX610101,Mental Health,13,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/610101,"Bird, H. R., Andrews, H., Schwab-Stone, M., Goodman, S. D., Dulcan, M., Richters, J., RubioStipec, M., Moore, R. E., Chiang, P. H., Hoven, C., Canino, G., Fisher, P., & Gould, M. S. (1996). Global measures of impairment for epidemiologic and clinical use with children and adolescents. International Journal of Methods in Psychiatric Research, 6(4), 295-307. Ezpeleta, L., Granero, R., de la Osa, N., Domenech, J. M., & Bonilla, A. B. (2006). Assessment of Functional Impairment in Spanish Children. Applied Psychology: An International Review, 55 (1), 130-143. Singer, J. B., Eack, S. M., & Greeno, C. M. (2011). The Columbia Impairment Scale: Factor analysis using a community mental health sample. Research on Social Work Practice, 21 (4), 458-468. Ung, D., Wood, J. J., Ehrenreich-May, J., Arnold, E. B., Fuji, C., Renno, P., Murphy, T. K., Lewin, A. B., Mutch, P. J., & Storch, E. A. (2013). Clinical characteristics of high-functioning youth with autism spectrum disorder and anxiety. Neuropsychiatry (London), 3 (2). [PhenX: https://www.phenxtoolkit.org/protocols/view/610101]",phenx,en,0,no,0,0,0,Excluded from manifest
PX610102,Impairment - Adult,PX610102,Mental Health,15,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/610102,"Andrews, G., Kemp, A., Sunderland, M., Von Korff, M., & Ustun, T.B. (2009). Normative data for the 12-item WHO Disability Assessment Schedule 2.0. PLoS One, 4 (12), e8343. Downing, N. R., Kim, J. I., Williams, J. K., Long, J. D., Mills, J. A., & Paulsen, J. S.; PREDICT‑HD Investigators and Coordinators of the Huntington Study Group. (2014) WHODAS 2.0 in prodromal Huntington disease: Measures of functioning in neuropsychiatric disease. European Journal of Human Genetics, 22 (8), 958-963. Konecky, B., Meyer, E. C., Marx, B. P., Kimbrel, N. A., & Morissette, S. B. (2014). Using the WHODAS 2.0 to assess functional disability associated with DSM-5 mental disorders. American Journal of Psychiatry, 171 (8), 818-820. [PhenX: https://www.phenxtoolkit.org/protocols/view/610102]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX610201,Broad Psychopathology - Adult,PX610201,Mental Health,25,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/610201,"Narrow, W. E., Clarke, D. E., Kuramoto, S. J., Kraemer, H. C., Kupfer, D. J., Greiner, L., & Regier, D. A. (2013). DSM-5 field trials in the United States and Canada, Part III: Development and reliability testing of a cross-cutting symptom assessment for DSM-5. American Journal of Psychiatry, 170 (1), 59-70. [PhenX: https://www.phenxtoolkit.org/protocols/view/610201]",phenx,en,0,no,0,0,0,Excluded from manifest
PX630101,Trauma and Adversity Exposure - General,PX630101,Mental Health,0,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/630101,"Elhai, J. D., Gray, M. J., Kashdan, T. B., & Franklin, C. L. (2005). Which instruments are most commonly used to assess traumatic event exposure and post-traumatic effects? A survey of traumatic stress professionals. Journal of Traumatic Stress, 18 (5), 541-545. Gray, M. J., Litz, B. T., Hsu, J. L., & Lombardo, T. W. (2004). Psychometric properties of the life events checklist. Assessment, 11 (4), 330-341. Kaloupek, D. G., Chard, K. M., Freed, M. C., Peterson, A. L., Riggs, D. S., Stein, M. B., & Tuma, F. (2010). Common data elements for posttraumatic stress disorder research. Archives of Physical Medicine and Rehabilitation, 91 (11), 1684-1691. [PhenX: https://www.phenxtoolkit.org/protocols/view/630101]",phenx,en,0,no,0,0,0,Excluded from manifest
PX630102,Trauma and Adversity Exposure - Military,PX630102,Mental Health,0,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/630102,"Kaloupek, D. G., Chard, K. M., Freed, M. C., Peterson, A. L., Riggs, D. S., Stein, M. B., & Tuma, F. (2010). Common data elements for posttraumatic stress disorder research. Archives of Physical Medicine and Rehabilitation, 91 (11), 1684-1191. King, L. A., King, D. W., Vogt, D. S., Knight, J. A., & Samper, R. E. (2006) Deployment risk and resilience inventory: A collection of measures for studying deployment-related experiences of military personnel and veterans. Military Psychology, 18, 89-120. Vogt, D., Smith, B. N., King, D. W., & King, L. A. (2012). Manual for the Deployment Risk and Resilience Inventory-2 (DRRI-2): A collection of measures for studying deployment-related experiences of military veterans. Boston, MA: National Center for PTSD. Available from the National Center for PTSD at www.ptsd.va.gov . Vogt, D. S., Proctor, S. P., King, D. W., King, L. A., & Vasterling, J. J. (2008). Validation of scales from the Deployment Risk and Resilience Inventory in a sample of Operation Iraqi Freedom veterans. Assessment, 15 (4), 391-403. [PhenX: https://www.phenxtoolkit.org/protocols/view/630102]",phenx,en,0,no,0,0,0,Excluded from manifest
PX630201,PTSD Screener - DSM-IV,PX630201,Mental Health,4,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/630201,"Kaloupek, D. G., Chard, K. M., Freed, M. C., Peterson, A. L., Riggs, D. S., Stein, M. B., & Tuma, F. (2010). Common data elements for posttraumatic stress disorder research. Archives of Physical Medicine and Rehabilitation, 91 (11), 1684-1691. Norris, F. H., & Hamblen, J. L. (2004). Standardized self-report measures of civilian trauma and PTSD. In J. P. Wilson, T. M. Keane, & T. Martin (Eds.). Assessing psychological trauma and PTSD (pp. 63-102). New York: Guilford Press Orsillo, S. M. (2001). Measures for acute stress disorder and posttraumatic stress disorder. In M. M. Antony & S. M. Orsillo (Eds.). Practitioner’s guide to empirically based measures of anxiety (pp. 255-307). New York: KluwerAcademic/Plenum. Prins, A., Ouimette, P., Kimerling, R., Cameron, R. P., Hugelshofer, D. S., Shaw-Hegwer, J., Thrailkill, A., Gusman, F.D., & Sheikh, J. I. (2004). The primary care PTSD screen (PC-PTSD): Corrigendum. Primary Care Psychiatry, 9, 151. [PhenX: https://www.phenxtoolkit.org/protocols/view/630201]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX630202,PTSD Screener - DSM 5,PX630202,Mental Health,0,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/630202,"Kaloupek, D. G., Chard, K. M., Freed, M. C., Peterson, A. L., Riggs, D. S., Stein, M. B., & Tuma, F. (2010). Common data elements for posttraumatic stress disorder research. Archives of Physical Medicine and Rehabilitation, 91 (11), 1684-1191. Norris, F. H., & Hamblen, J. L. (2004). Standardized self-report measures of civilian trauma and PTSD. In J. P. Wilson, T. M. Keane, & T. Martin (Eds.). Assessing psychological trauma and PTSD (pp. 63-102). New York: Guilford Press. Orsillo, S. M. (2001). Measures for acute stress disorder and posttraumatic stress disorder. In M. M. Antony & S. M. Orsillo (Eds.). Practitioner’s guide to empirically based measures of anxiety (pp. 255-307). New York: KluwerAcademic/Plenum. Prins, A., Jenkins-Guarnieri, M., Smolenski, D., Marx, B., Kimerling, R., Kaloupek, D., Schnurr, P., Leyva, Y., & Tiet, Q. (2014, November). Revising the PC-PTSD Screen for DSM-5. Annual Meeting of the International Society for Traumatic Stress Studies, Miami, FL. Prins, A., Ouimette, P., Kimerling, R., Cameron, R. P., Hugelshofer, D. S., Shaw-Hegwer, J., Thrailkill, A., Gusman, F. D., & Sheikh, J. I. (2003). The primary care PTSD screen (PC-PTSD): Development and operating characteristics. Primary Care Psychiatry, 9, 9-14. Prins, A., Ouimette, P., Kimerling, R., Cameron, R. P., Hugelshofer, D. S., Shaw-Hegwer, J., Thrailkill, A., Gusman, F. D., & Sheikh, J. I. (2004). The primary care PTSD screen (PC-PTSD): Corrigendum. Primary Care Psychiatry, 9, 151. [PhenX: https://www.phenxtoolkit.org/protocols/view/630202]",phenx,en,0,no,0,0,0,Excluded from manifest
PX630501,Social Support,PX630501,Mental Health,19,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/630501,"Amstadter, A. B., Koenen, K. C., Ruggiero, K. J., Acierno, R., Galea, S., Kilpatrick, D. G., & Gelernter, J. (2009). Variant in RGS2 moderates posttraumatic stress symptoms following potentially traumatic event exposure. Journal of Anxiety Disorders, 23 (3), 369-373. Boscarino, J. A., Kirchner, H. L., Hoffman, S. N., Sartorius, J., & Adams, R. E. (2011). PTSD and alcohol use after the World Trade Center attacks: A longitudinal study. Journal of Traumatic Stress, 24( 5): 515-525. Price, M., Gros, D. F., Strachan, M., Ruggiero, K. J., & Acierno, R. (2013). The role of social support in exposure therapy for Operation Iraqi Freedom/Operation Enduring Freedom veterans: A preliminary investigation. Psychological Trauma: Theory, Research, Practice, and Policy, 5 (1), 93-100. [PhenX: https://www.phenxtoolkit.org/protocols/view/630501]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX630701,General Well-being,PX630701,Mental Health,18,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/630701,"Dupuy, H. J. (1978). Self-representations of general psychological well-being of American adults. Paper presented at American Public Health Association Meeting, Los Angeles, CA.. Poston, W. S. C. II, Olvera, N. E., Yanez C., et al. (1998). Evacuation of the factor structure and psychometric characteristics of the General Well-Being Schedule (GWB) with Mexican American women. Women Health, 27, 51-64. Taylor, J. E., Poston, W. S. C. II, Haddock, C. K., et al. (2003). Psychometric characteristics of the General Well-Being Schedule (GWB) with African-American women. Quality of Life Research, 12, 31-39. [PhenX: https://www.phenxtoolkit.org/protocols/view/630701]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX640701,Aggression and Hostility,PX640701,Mental Health,29,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/640701,"Bridge, J. A., McBee-Strayer, S. M., Cannon, E. A., Sheftall, A. H., Reynolds, B., Campo, J. V., Pajer, K. A., Barbe, R. P., & Brent, D. A. (2012). Impaired decision-making in adolescent suicide attempters. Journal of the American Academy of Child and Adolescent Psychiatry, 51 (4), 394-403. Doihara, C., Kawanishi. C., Yamada, T., Sato, R., Hasegawa, H., Furuno, T., Nakagawa, M., & Hirayasu Y. (2008). Trait aggression in suicide attempters: A pilot study. Psychiatry and Clinical Neurosciences, 62 (3), 352-354. Dougherty, D. M., Mathias, C. W., Marsh, D. M., Papageorgiou, T. D., Swann, A. C., & Moeller, G. F. (2004). Laboratory measured behavioral impulsivity relates to suicide attempt history. Suicide and Life-Threatening Behavior 34 (4), 374-385. Gerevich, J., Bacskal, E., & Czobor, P. (2007). The generalizability of the Buss-Perry Aggression Questionnaire. International Journal of Methods in Psychiatric Research 16 (3), 124-136. [PhenX: https://www.phenxtoolkit.org/protocols/view/640701]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX640801,Insomnia,PX640801,Mental Health,7,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/640801,"Bernert, R. A., Joiner, T. E., Jr., Cukrowicz, K. C., Schmidt, N. B., & Krakow, B. (2005). Suicidality and sleep disturbances. Sleep, 28 (9), 1135-1141. Krakow, B., Ribeiro, J. D., Ulibarri, V. A., Krakow, J., & Joiner, T. E., Jr. (2011). Sleep disturbances and suicidal ideation in sleep medical center patients. Journal of Affective Disorders 131 (1-3), 422-427. McCall, W. V., Blocker, J. N., D’Agostino, R., Jr., Kimball, J., Boggs, N., Lasater, B., & Rosenquist, P. B. (2010). Insomnia severity is an indicator of suicidal ideation during a depression clinical trial. Sleep Medicine, 11 (9), 822-827. Morin, C. M., Belleville, G., Bélanger, L., & Ivers, H. (2011). The Insomnia Severity Index: Psychometric indicators to detect insomnia cases and evaluate treatment response. Sleep 34 (5), 601-608. Ribeiro, J. D., Pease, J. L., Gutierrez, P. M., Silva, C., Bernert, R. A., Rudd, M. D., & Joiner, T. E., Jr. (2012). Sleep problems outperform depression and hopelessness as cross-sectional and longitudinal predictors of suicidal ideation and behavior in young adults in the military. Journal of Affective Disorders 136 (3), 743-750 . [PhenX: https://www.phenxtoolkit.org/protocols/view/640801]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX640901,Deterrents to Suicide - Clinical - Child,PX640901,Mental Health,32,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/640901,"Molock, S. D., Puri, R., Matlin, S., & Barksdale, C. (2006). Relationship Between Religious Coping and Suicidal Behaviors Among African American Adolescents. The Journal of Black Psychology, 32 (3): 366-389. Robinson, J., Hetrick, S., Gook, S., Cosgrave, E., Yuen, H. P., McGorry, P., & Yung, A. (2009). Study protocol: the development of a randomised controlled trial testing a postcard intervention designed to reduce suicide risk among young help-seekers. BMC Psychiatry, 23 (9) 59. Osman, A., Downs, W. R., Kopper, B. A., Barrios, F. X., Baker, M. T., Osman J. R., Besett, T. M., & Linehan, M. M. (1998). The Reasons for Living Inventory for Adolescents (RFL-A): Development and psychometric properties. Journal of Clinical Psychology, 54 (8), 1063-1078. [PhenX: https://www.phenxtoolkit.org/protocols/view/640901]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX640902,Deterrents to Suicide - Clinical - Adult,PX640902,Mental Health,48,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/640902,"Britton, P. C., Duberstein, P. R., Conner, K. R., Heisel, M. J., Hirsch, J. K., & Conwell, Y. (2008). Reasons for living, hopelessness, and suicide ideation among depressed adults 50 years or older. American Journal of Geriatric Psychiatry, 16 (9), 736-741. Richardson-Vejlgaard, R., Sher, L., Oquendo, M. A., Lizardi, D., & Stanley, B. (2009). Objections to suicide among depressed patients with alcohol use disorders. Journal of Affective Disorders, 117 (3), 197-201. [PhenX: https://www.phenxtoolkit.org/protocols/view/640902]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX650201,Exercise Dependence Scale,PX650201,Self & Coping,20,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/650201,"Cook, B.J., & Hausenblas, H.A. (2011). Eating disorder-specific health-related quality of life and exercise in college females. Quality of Life Research, 55 (8), 1129-1141. Costa, S., Hausenblas, H. A., Oliva, P., Cuzzocrea, F., & Larcan, R. (2013). The role of age, gender, mood states and exercise frequency on exercise dependence. Journal of Behavior Addictions, 2 (4), 216-223. [PhenX: https://www.phenxtoolkit.org/protocols/view/650201]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX650301,Child Eating Behavior Questionnaire (CEBQ),PX650301,Self & Coping,35,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/650301,"Carnell, S., & Wardle, J. (2007). Measuring behavioural susceptibility to obesity: Validation of the child eating behaviour questionnaire. Appetite, 48 (1), 104-113. [PhenX: https://www.phenxtoolkit.org/protocols/view/650301]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX650601,Positive and Negative Perfectionism Scale,PX650601,Self & Coping,40,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/650601,"Bieling, P. J., Israeli, A. L., & Antony, M. M. (2004). Is perfectionism good, bad, or both? Examining models of the perfectionism construct. Personality and individual Differences, 36, 1373-1385 . Frost, R. O., Heimberg, R. G., Halt, C. S., Mattia, J. L. & Neubauer, A. L. (1993). A comparison of two measures of perfectionism. Personality and Individual Differences, 14, 99 - 126. Haase, A. M., & Prapavessis, H. (2004). Assessing the factor structure and composition of the Positive and Negative Perfectionism Scale in sport. Personality and Individual Differences, 36 (7), 1725 - 1740. doi: 10.1016/j.paid.2003.07.01 Hewitt, G. L. & Flett, G. L. (1991). Perfectionism in the self and social contexts: Conceptualization, assessment and association with psychopathology. Journal of Personality and Social Psychology, 60 (3), 456 - 470. Slade, P. D., Coppel, D. B., & Townes, B. D. (2009). Neurocognitive correlates of positive and negative perfectionism. International Journal of Neuroscience , 119 (10), 1741 - 1754. [PhenX: https://www.phenxtoolkit.org/protocols/view/650601]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX651201,Questionnaire on Eating and Weight Patterns - Adult,PX651201,Self & Coping,59,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/651201,"Shomaker, L. B., Tanofsky-Kraff, M., Elliott, C., Wolkoff, L. E., Columbo, K. M., Ranzenhofer, L. M., Roza, C. A., Yanovski, S. Z., & Yanovski, J. A. (2010). Salience of loss of control for pediatric binge episodes: Does size really matter? International Journal of Eating Disorders, 43 , 707-716. Spitzer, R. L., Stunkard, A. J., Yanovski, S., Marcus, M. D., Wadden, T., Wing, R., Mitchell, J., & Hasin, D. (1993). Binge eating disorder should be included in DSM-IV: A reply to Fairburn et al.’s ""The classification of recurrent overeating: The binge eating disorder."" International Journal of Eating Disorders, 13, 161-169. Wonderlich, S. A., Gordon, K. H., Mitchell, J. E., Crosby, R. D., & Engel, S. G. (2009). The validity and clinical utility of binge eating disorder. International Journal of Eating Disorders, 42 , 687-705. [PhenX: https://www.phenxtoolkit.org/protocols/view/651201]",phenx,en,0,no,0,0,0,Excluded from manifest
PX660901,Psychiatric Symptoms - Frequency,PX660901,Mental Health,14,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/660901,"Fukui, S., Davidson, L. J., Holter, M. C., & Rapp, C. A. (2010). Pathways to recovery (PTR): Impact of peer-led group participation on mental health recovery outcomes. Psychiatric Rehabilitation Journal, 34 (1), 42-48. Shern, D. L., Wilson, N. Z., & Coen, A. S. (1994). Client outcomes II: Longitudinal client data from the Colorado treatment outcome study. Millbank Quarterly, 72 (1), 123-148. [PhenX: https://www.phenxtoolkit.org/protocols/view/660901]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX661101,Psychosis Recovery Assessment,PX661101,Mental Health,15,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/661101,"Law, H., Neil, S. T., Dunn, G., & Morrison, A. P. (2014). Psychometric properties of the Questionnaire about the Process of Recovery (QPR). Schizophrenia Research, 156 (2-3), 184- 189. Neil, S. T., Kilbride, M., Pitt, L., Nothard, S., Welford, M., Sellwood, W., & Morrison, A. P. (2009). The Questionnaire about the Process of Recovery (QPR): A measurement tool developed in collaboration with service users. Psychosis , 1 (2), 145-155. Williams, J., Leamy, M., Pesola, F., Bird, V., Le Boutillier, C., & Slade, M. (2015). Psychometric evaluation of the Questionnaire about the Process of Recovery (QPR). British Journal of Psychiatry , 207 (6), 551-555. [PhenX: https://www.phenxtoolkit.org/protocols/view/661101]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX661301,Personal Well-being Index - Adult,PX661301,Mental Health,7,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/661301,"Cummins, R. A., Eckersley, R., Pallant, J., Van Vugt, J., & Misajon, R. (2003). Developing a national index of subjective wellbeing: The Australian Unity Wellbeing Index. Social Indicators Research, 64 , 159-190. Cummins, R. A., & Lau, A. L. D. (2013). Personal Wellbeing Index-Adult (5th Ed.). Melbourne, Australia: Australian Centre on Quality of Life, Deakin University. Tomyn, A. J., Fuller-Tyszkiewicz, M., & Cummins, R. A. (2013). The Personal Wellbeing Index: Psychometric equivalence for adults and school children. Social Indicators Research, 110 (3), 913-924. [PhenX: https://www.phenxtoolkit.org/protocols/view/661301]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
PX661302,Personal Well-being index - Child,PX661302,Mental Health,7,PhenX Toolkit freely available protocol,https://www.phenxtoolkit.org/protocols/view/661302,"Cummins, R. A., Eckersley, R., Pallant, J., Van Vugt, J., & Misajon, R. (2003). Developing a national index of subjective wellbeing: The Australian Unity Wellbeing Index. Social Indicators Research, 64 , 159-190. Cummins, R. A., & Lau, A. L. D. (2005). Personal Wellbeing Index-School Children (PWI-SC) (3rd Ed.). Melbourne, Australia: Australian Centre on Quality of Life, Deakin University. Tomyn, A. J., Fuller-Tyszkiewicz, M., & Cummins, R. A. (2013). The Personal Wellbeing Index: Psychometric equivalence for adults and school children. Social Indicators Research, 110 (3), 913-924. [PhenX: https://www.phenxtoolkit.org/protocols/view/661302]",phenx,en,0,no,1,0,0,Auto-converted from PhenX
